stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10797,10797,"71st Street & Kimbark","71st Street & Kimbark, Eastbound, Southside of the Street",41.7659576,-87.59432616,0,,1
10798,10798,"71st Street & Dorchester","71st Street & Dorchester, Eastbound, Southwest Corner",41.765965,-87.591253,0,,1
10799,10799,"71st Street & Blackstone","71st Street & Blackstone, Eastbound, Southwest Corner",41.76588438,-87.58867006,0,,1
10800,10800,"71st Street & Stony Island","71st Street & Stony Island, Eastbound, Southwest Corner",41.7659121,-87.58653384,0,,1
10801,10801,"71st Street & Stony Island","71st Street & Stony Island, Eastbound, Southeast Corner",41.76590869,-87.58554386,0,,1
10802,10802,"71st Street & East End","71st Street & East End, Eastbound, Southwest Corner",41.765982,-87.583863,0,,1
10803,10803,"71st Street & Ridgeland","71st Street & Ridgeland, Eastbound, Southwest Corner",41.76599,-87.582607,0,,1
10804,10804,"71st Street & Constance","71st Street & Constance, Eastbound, Southwest Corner",41.766013,-87.580773,0,,1
10805,10805,"71st Street & Euclid","71st Street & Euclid, Eastbound, Southwest Corner",41.766032,-87.578282,0,,1
10807,10807,"71st Street & Clyde","71st Street & Clyde, Eastbound, Southwest Corner",41.766068,-87.57406,0,,1
10809,10809,"71st Street & Paxton","71st Street & Paxton, Eastbound, Southwest Corner",41.766107,-87.571538,0,,1
10812,10812,"71st Street & Yates","71st Street & Yates, Eastbound, Southwest Corner",41.7658,-87.566643,0,,1
10813,10813,"Exchange & 72nd Street","Exchange & 72nd Street, Southeastbound, Northwest Corner",41.76455747,-87.56534091,0,,1
10814,10814,"Exchange & 73rd Street","Exchange & 73rd Street, Southeastbound, Northwest Corner",41.76280358,-87.56377549,0,,1
10817,10817,"Yates & 72nd Street","Yates & 72nd Street, Northbound, Southeast Corner",41.764265,-87.566418,0,,1
10818,10818,"Yates & Exchange","Yates & Exchange, Northbound, Southeast Corner",41.76566303,-87.56642039,0,,1
10819,10819,"71st Street & Yates","71st Street & Yates, Westbound, Northwest Corner",41.76636676,-87.56686634,0,,1
10821,10821,"71st Street & Crandon","71st Street & Crandon, Westbound, Northeast Corner",41.7663412,-87.56965943,0,,1
10822,10822,"71st Street & Paxton","71st Street & Paxton, Westbound, Northeast Corner",41.766337,-87.571218,0,,1
10823,10823,"71st Street & Merrill","71st Street & Merrill, Westbound, Northeast Corner",41.766323,-87.572452,0,,1
10826,10826,"71st Street & Euclid","71st Street & Euclid, Westbound, Northside of the Street",41.766267,-87.578583,0,,1
